Treatment,Plant,Day 0 Total Leaf Area,Day 14 Total Leaf Area,Difference
1,1,429,1287,858
1,2,573,1526,953
1,3,245,1310,1065
1,4,497,1494,997
2,1,710,1487,777
2,2,142,352,210
2,3,123,463,340
2,4,305,634,329
4,1,247,865,618
4,2,126,653,527
4,3,163,603,440
4,4,241,794,553
6,1,163,566,403
6,2,239,533,294
6,3,423,1426,1003
6,4,726,1389,663
