Date,Day,Treatment,Plant_Num,Plant Size,YII
3/22/2024,0,1,1,L,0.773
3/22/2024,0,1,1,L,0.764
3/22/2024,0,1,1,L,0.785
3/22/2024,0,1,2,L,0.804
3/22/2024,0,1,2,L,0.775
3/22/2024,0,1,2,L,0.762
3/22/2024,0,1,3,M,0.803
3/22/2024,0,1,3,M,0.773
3/22/2024,0,1,3,M,0.754
3/22/2024,0,1,4,M,0.789
3/22/2024,0,1,4,M,0.796
3/22/2024,0,1,4,M,0.796
3/22/2024,0,1,5,S,0.776
3/22/2024,0,1,5,S,0.821
3/22/2024,0,1,5,S,0.783
3/22/2024,0,1,6,S,0.858
3/22/2024,0,1,6,S,0.815
3/22/2024,0,1,6,S,0.778
3/22/2024,0,2,1,L,0.804
3/22/2024,0,2,1,L,0.813
3/22/2024,0,2,1,L,0.778
3/22/2024,0,2,2,S,0.815
3/22/2024,0,2,2,S,0.729
3/22/2024,0,2,2,S,0.803
3/22/2024,0,2,3,S,0.852
3/22/2024,0,2,3,S,0.787
3/22/2024,0,2,3,S,0.762
3/22/2024,0,2,4,M,0.758
3/22/2024,0,2,4,M,0.785
3/22/2024,0,2,4,M,0.819
3/22/2024,0,2,5,L,0.835
3/22/2024,0,2,5,L,0.786
3/22/2024,0,2,5,L,0.807
3/22/2024,0,2,6,M,0.798
3/22/2024,0,2,6,M,0.789
3/22/2024,0,2,6,M,0.793
3/22/2024,0,4,1,M,0.85
3/22/2024,0,4,1,M,0.796
3/22/2024,0,4,1,M,0.771
3/22/2024,0,4,2,S,0.804
3/22/2024,0,4,2,S,0.803
3/22/2024,0,4,2,S,0.827
3/22/2024,0,4,3,M,0.805
3/22/2024,0,4,3,M,0.806
3/22/2024,0,4,3,M,0.778
3/22/2024,0,4,4,M,0.81
3/22/2024,0,4,4,M,0.795
3/22/2024,0,4,4,M,0.798
3/22/2024,0,4,5,L,0.814
3/22/2024,0,4,5,L,0.782
3/22/2024,0,4,5,L,0.766
3/22/2024,0,4,6,S,0.863
3/22/2024,0,4,6,S,0.844
3/22/2024,0,4,6,S,0.803
3/22/2024,0,4,7,L,0.805
3/22/2024,0,4,7,L,0.809
3/22/2024,0,4,7,L,0.783
3/22/2024,0,4,8,S,0.833
3/22/2024,0,4,8,S,0.787
3/22/2024,0,4,8,S,0.793
3/22/2024,0,4,9,L,0.818
3/22/2024,0,4,9,L,0.793
3/22/2024,0,4,9,L,0.797
3/22/2024,0,4,10,S,0.81
3/22/2024,0,4,10,S,0.797
3/22/2024,0,4,10,S,0.773
3/22/2024,0,4,11,L,0.802
3/22/2024,0,4,11,L,0.815
3/22/2024,0,4,11,L,0.794
3/22/2024,0,4,12,M,0.787
3/22/2024,0,4,12,M,0.797
3/22/2024,0,4,12,M,0.78
3/22/2024,0,6,1,S,0.844
3/22/2024,0,6,1,S,0.783
3/22/2024,0,6,1,S,0.797
3/22/2024,0,6,2,M,0.818
3/22/2024,0,6,2,M,0.86
3/22/2024,0,6,2,M,0.805
3/22/2024,0,6,3,M,0.821
3/22/2024,0,6,3,M,0.789
3/22/2024,0,6,3,M,0.775
3/22/2024,0,6,4,L,0.798
3/22/2024,0,6,4,L,0.833
3/22/2024,0,6,4,L,0.791
3/22/2024,0,6,5,L,0.772
3/22/2024,0,6,5,L,0.81
3/22/2024,0,6,5,L,0.791
3/22/2024,0,6,6,M,0.845
3/22/2024,0,6,6,M,0.789
3/22/2024,0,6,6,M,0.796
3/22/2024,0,6,7,S,0.801
3/22/2024,0,6,7,S,0.814
3/22/2024,0,6,7,S,0.782
3/22/2024,0,6,8,L,0.802
3/22/2024,0,6,8,L,0.774
3/22/2024,0,6,8,L,0.79
3/22/2024,0,6,9,L,0.807
3/22/2024,0,6,9,L,0.775
3/22/2024,0,6,9,L,0.777
3/22/2024,0,6,10,S,0.79
3/22/2024,0,6,10,S,0.795
3/22/2024,0,6,10,S,0.796
3/22/2024,0,6,11,M,0.828
3/22/2024,0,6,11,M,0.788
3/22/2024,0,6,11,M,0.772
3/22/2024,0,6,12,S,0.836
3/22/2024,0,6,12,S,0.784
3/22/2024,0,6,12,S,0.779
3/29/2024,7,1,1,L,0.789
3/29/2024,7,1,1,L,0.758
3/29/2024,7,1,1,L,0.786
3/29/2024,7,1,2,L,0.806
3/29/2024,7,1,2,L,0.786
3/29/2024,7,1,2,L,0.811
3/29/2024,7,1,3,M,0.821
3/29/2024,7,1,3,M,0.779
3/29/2024,7,1,3,M,0.757
3/29/2024,7,1,4,M,0.813
3/29/2024,7,1,4,M,0.765
3/29/2024,7,1,4,M,0.816
3/29/2024,7,1,5,S,0.788
3/29/2024,7,1,5,S,0.785
3/29/2024,7,1,5,S,0.817
3/29/2024,7,1,6,S,0.805
3/29/2024,7,1,6,S,0.796
3/29/2024,7,1,6,S,0.8
3/29/2024,7,2,1,L,0.785
3/29/2024,7,2,1,L,0.819
3/29/2024,7,2,1,L,0.819
3/29/2024,7,2,2,S,0.814
3/29/2024,7,2,2,S,0.851
3/29/2024,7,2,2,S,0.77
3/29/2024,7,2,3,S,0.765
3/29/2024,7,2,3,S,0.732
3/29/2024,7,2,3,S,0.76
3/29/2024,7,2,4,M,0.793
3/29/2024,7,2,4,M,0.782
3/29/2024,7,2,4,M,0.822
3/29/2024,7,2,5,L,0.854
3/29/2024,7,2,5,L,0.805
3/29/2024,7,2,5,L,0.787
3/29/2024,7,2,6,M,0.922
3/29/2024,7,2,6,M,0.803
3/29/2024,7,2,6,M,0.806
3/29/2024,7,4,1,M,0.829
3/29/2024,7,4,1,M,0.797
3/29/2024,7,4,1,M,0.808
3/29/2024,7,4,2,S,0.809
3/29/2024,7,4,2,S,0.783
3/29/2024,7,4,2,S,0.798
3/29/2024,7,4,3,M,0.795
3/29/2024,7,4,3,M,0.812
3/29/2024,7,4,3,M,0.783
3/29/2024,7,4,4,M,0.809
3/29/2024,7,4,4,M,0.801
3/29/2024,7,4,4,M,0.857
3/29/2024,7,4,5,L,0.78
3/29/2024,7,4,5,L,0.801
3/29/2024,7,4,5,L,0.792
3/29/2024,7,4,6,S,0.835
3/29/2024,7,4,6,S,0.813
3/29/2024,7,4,6,S,0.799
3/29/2024,7,4,7,L,0.807
3/29/2024,7,4,7,L,0.78
3/29/2024,7,4,7,L,0.797
3/29/2024,7,4,8,S,0.867
3/29/2024,7,4,8,S,0.798
3/29/2024,7,4,8,S,0.804
3/29/2024,7,4,9,L,0.811
3/29/2024,7,4,9,L,0.796
3/29/2024,7,4,9,L,0.803
3/29/2024,7,4,10,S,0.857
3/29/2024,7,4,10,S,0.81
3/29/2024,7,4,10,S,0.835
3/29/2024,7,4,11,L,0.822
3/29/2024,7,4,11,L,0.84
3/29/2024,7,4,11,L,0.813
3/29/2024,7,4,12,M,0.795
3/29/2024,7,4,12,M,0.815
3/29/2024,7,4,12,M,0.828
3/29/2024,7,6,1,S,0.833
3/29/2024,7,6,1,S,0.776
3/29/2024,7,6,1,S,0.791
3/29/2024,7,6,2,M,0.811
3/29/2024,7,6,2,M,0.793
3/29/2024,7,6,2,M,0.8
3/29/2024,7,6,3,M,0.883
3/29/2024,7,6,3,M,0.767
3/29/2024,7,6,3,M,0.79
3/29/2024,7,6,4,L,0.852
3/29/2024,7,6,4,L,0.806
3/29/2024,7,6,4,L,0.799
3/29/2024,7,6,5,L,0.797
3/29/2024,7,6,5,L,0.761
3/29/2024,7,6,5,L,0.797
3/29/2024,7,6,6,M,0.801
3/29/2024,7,6,6,M,0.797
3/29/2024,7,6,6,M,0.783
3/29/2024,7,6,7,S,0.855
3/29/2024,7,6,7,S,0.781
3/29/2024,7,6,7,S,0.788
3/29/2024,7,6,8,L,0.794
3/29/2024,7,6,8,L,0.819
3/29/2024,7,6,8,L,0.796
3/29/2024,7,6,9,L,0.799
3/29/2024,7,6,9,L,0.792
3/29/2024,7,6,9,L,0.83
3/29/2024,7,6,10,S,0.863
3/29/2024,7,6,10,S,0.848
3/29/2024,7,6,10,S,0.795
3/29/2024,7,6,11,M,0.803
3/29/2024,7,6,11,M,0.806
3/29/2024,7,6,11,M,0.809
3/29/2024,7,6,12,S,0.796
3/29/2024,7,6,12,S,0.802
3/29/2024,7,6,12,S,0.802
4/5/2024,14,1,1,L,0.769
4/5/2024,14,1,1,L,0.802
4/5/2024,14,1,1,L,0.802
4/5/2024,14,1,2,L,0.791
4/5/2024,14,1,2,L,0.766
4/5/2024,14,1,2,L,0.739
4/5/2024,14,1,3,M,0.805
4/5/2024,14,1,3,M,0.796
4/5/2024,14,1,3,M,0.714
4/5/2024,14,1,4,M,0.81
4/5/2024,14,1,4,M,0.789
4/5/2024,14,1,4,M,0.789
4/5/2024,14,1,5,S,0.718
4/5/2024,14,1,5,S,0.717
4/5/2024,14,1,5,S,0.772
4/5/2024,14,1,6,S,0.833
4/5/2024,14,1,6,S,0.727
4/5/2024,14,1,6,S,0.812
4/5/2024,14,2,1,L,0.8
4/5/2024,14,2,1,L,0.774
4/5/2024,14,2,1,L,0.637
4/5/2024,14,2,2,S,0.186
4/5/2024,14,2,2,S,0.784
4/5/2024,14,2,2,S,0.799
4/5/2024,14,2,3,S,0.771
4/5/2024,14,2,3,S,0.809
4/5/2024,14,2,3,S,0.721
4/5/2024,14,2,4,M,0.792
4/5/2024,14,2,4,M,0.78
4/5/2024,14,2,4,M,0.652
4/5/2024,14,2,5,L,0.807
4/5/2024,14,2,5,L,0.757
4/5/2024,14,2,5,L,0.766
4/5/2024,14,2,6,M,0.83
4/5/2024,14,2,6,M,0.719
4/5/2024,14,2,6,M,0.625
4/5/2024,14,4,1,M,0.692
4/5/2024,14,4,1,M,0.691
4/5/2024,14,4,1,M,0.806
4/5/2024,14,4,2,S,0.812
4/5/2024,14,4,2,S,0.706
4/5/2024,14,4,2,S,0.73
4/5/2024,14,4,3,M,0.381
4/5/2024,14,4,3,M,0.729
4/5/2024,14,4,3,M,0.65
4/5/2024,14,4,4,M,0.659
4/5/2024,14,4,4,M,0.616
4/5/2024,14,4,4,M,0.404
4/5/2024,14,4,5,L,0.773
4/5/2024,14,4,5,L,0.797
4/5/2024,14,4,5,L,0.328
4/5/2024,14,4,6,S,0.764
4/5/2024,14,4,6,S,0.787
4/5/2024,14,4,6,S,0.795
4/5/2024,14,4,7,L,0.524
4/5/2024,14,4,7,L,0.781
4/5/2024,14,4,7,L,0.695
4/5/2024,14,4,8,S,0.851
4/5/2024,14,4,8,S,0.762
4/5/2024,14,4,8,S,0.79
4/5/2024,14,4,9,L,0.79
4/5/2024,14,4,9,L,0.803
4/5/2024,14,4,9,L,0.599
4/5/2024,14,4,10,S,0.704
4/5/2024,14,4,10,S,0.801
4/5/2024,14,4,10,S,0.77
4/5/2024,14,4,11,L,0.811
4/5/2024,14,4,11,L,0.647
4/5/2024,14,4,11,L,0.743
4/5/2024,14,4,12,M,0.808
4/5/2024,14,4,12,M,0.805
4/5/2024,14,4,12,M,0.784
4/5/2024,14,6,1,S,0.877
4/5/2024,14,6,1,S,0.762
4/5/2024,14,6,1,S,0.793
4/5/2024,14,6,2,M,0.8
4/5/2024,14,6,2,M,0.766
4/5/2024,14,6,2,M,0.773
4/5/2024,14,6,3,M,0.828
4/5/2024,14,6,3,M,0.743
4/5/2024,14,6,3,M,0.79
4/5/2024,14,6,4,L,0.749
4/5/2024,14,6,4,L,0.766
4/5/2024,14,6,4,L,0.768
4/5/2024,14,6,5,L,0.846
4/5/2024,14,6,5,L,0.789
4/5/2024,14,6,5,L,0.797
4/5/2024,14,6,6,M,0.866
4/5/2024,14,6,6,M,0.81
4/5/2024,14,6,6,M,0.831
4/5/2024,14,6,7,S,0.864
4/5/2024,14,6,7,S,0.591
4/5/2024,14,6,7,S,0.818
4/5/2024,14,6,8,L,0.835
4/5/2024,14,6,8,L,0.827
4/5/2024,14,6,8,L,0.836
4/5/2024,14,6,9,L,0.827
4/5/2024,14,6,9,L,0.812
4/5/2024,14,6,9,L,0.586
4/5/2024,14,6,10,S,0.84
4/5/2024,14,6,10,S,0.801
4/5/2024,14,6,10,S,0.507
4/5/2024,14,6,11,M,0.816
4/5/2024,14,6,11,M,0.789
4/5/2024,14,6,11,M,0.788
4/5/2024,14,6,12,S,0.794
4/5/2024,14,6,12,S,0.786
4/5/2024,14,6,12,S,0.801
4/12/2024,21,1,1,L,0
4/12/2024,21,1,1,L,0.753
4/12/2024,21,1,1,L,0
4/12/2024,21,1,2,L,0.309
4/12/2024,21,1,2,L,0
4/12/2024,21,1,2,L,0
4/12/2024,21,1,3,M,0.672
4/12/2024,21,1,3,M,0.479
4/12/2024,21,1,3,M,0.652
4/12/2024,21,1,4,M,0.832
4/12/2024,21,1,4,M,0.525
4/12/2024,21,1,4,M,0
4/12/2024,21,1,5,S,0
4/12/2024,21,1,5,S,0
4/12/2024,21,1,5,S,0.478
4/12/2024,21,1,6,S,0.791
4/12/2024,21,1,6,S,0.805
4/12/2024,21,1,6,S,0
4/12/2024,21,2,1,L,0
4/12/2024,21,2,1,L,0
4/12/2024,21,2,1,L,0.71
4/12/2024,21,2,2,S,0.804
4/12/2024,21,2,2,S,0
4/12/2024,21,2,2,S,0.59
4/12/2024,21,2,3,S,0
4/12/2024,21,2,3,S,0.746
4/12/2024,21,2,3,S,0
4/12/2024,21,2,4,M,0
4/12/2024,21,2,4,M,0.724
4/12/2024,21,2,4,M,0.627
4/12/2024,21,2,5,L,0
4/12/2024,21,2,5,L,0.74
4/12/2024,21,2,5,L,0.792
4/12/2024,21,2,6,M,0
4/12/2024,21,2,6,M,0.829
4/12/2024,21,2,6,M,0.79
4/12/2024,21,4,1,M,0.472
4/12/2024,21,4,1,M,0
4/12/2024,21,4,1,M,0.77
4/12/2024,21,4,2,S,0.337
4/12/2024,21,4,2,S,0.35
4/12/2024,21,4,2,S,0.79
4/12/2024,21,4,3,M,0.712
4/12/2024,21,4,3,M,0
4/12/2024,21,4,3,M,0.615
4/12/2024,21,4,4,M,0.298
4/12/2024,21,4,4,M,0.447
4/12/2024,21,4,4,M,0.831
4/12/2024,21,4,5,L,0.389
4/12/2024,21,4,5,L,0.748
4/12/2024,21,4,5,L,0.822
4/12/2024,21,4,6,S,0
4/12/2024,21,4,6,S,0.484
4/12/2024,21,4,6,S,0.815
4/12/2024,21,4,7,L,0.863
4/12/2024,21,4,7,L,0.83
4/12/2024,21,4,7,L,0.82
4/12/2024,21,4,8,S,0.569
4/12/2024,21,4,8,S,0.701
4/12/2024,21,4,8,S,0.826
4/12/2024,21,4,9,L,0
4/12/2024,21,4,9,L,0.831
4/12/2024,21,4,9,L,0.848
4/12/2024,21,4,10,S,0
4/12/2024,21,4,10,S,0.414
4/12/2024,21,4,10,S,0.814
4/12/2024,21,4,11,L,0.469
4/12/2024,21,4,11,L,0
4/12/2024,21,4,11,L,0.811
4/12/2024,21,4,12,M,0.578
4/12/2024,21,4,12,M,0.863
4/12/2024,21,4,12,M,0.804
4/12/2024,21,6,1,S,0.517
4/12/2024,21,6,1,S,0.667
4/12/2024,21,6,1,S,0.589
4/12/2024,21,6,2,M,0
4/12/2024,21,6,2,M,0.686
4/12/2024,21,6,2,M,0.667
4/12/2024,21,6,3,M,0
4/12/2024,21,6,3,M,0.807
4/12/2024,21,6,3,M,0.808
4/12/2024,21,6,4,L,0
4/12/2024,21,6,4,L,0
4/12/2024,21,6,4,L,0
4/12/2024,21,6,5,L,0
4/12/2024,21,6,5,L,0.742
4/12/2024,21,6,5,L,0.555
4/12/2024,21,6,6,M,0.81
4/12/2024,21,6,6,M,0.806
4/12/2024,21,6,6,M,0.775
4/12/2024,21,6,7,S,0
4/12/2024,21,6,7,S,0.613
4/12/2024,21,6,7,S,0.79
4/12/2024,21,6,8,L,0.815
4/12/2024,21,6,8,L,0
4/12/2024,21,6,8,L,0.793
4/12/2024,21,6,9,L,0.718
4/12/2024,21,6,9,L,0.809
4/12/2024,21,6,9,L,0.838
4/12/2024,21,6,10,S,0
4/12/2024,21,6,10,S,0
4/12/2024,21,6,10,S,0.786
4/12/2024,21,6,11,M,0
4/12/2024,21,6,11,M,0
4/12/2024,21,6,11,M,0
4/12/2024,21,6,12,S,0.847
4/12/2024,21,6,12,S,0
4/12/2024,21,6,12,S,0.813
